author_name,total_books,total_sales,average_rating
Antoine De Saint-Exupéry,6,28667,3.283333333333333
Unknown,2838,26186,0.494785059901339
.,369,22987,2.037940379403794
"Shannon Thomas, LCSW",1,16007,4.7
Gosho Aoyama,75,10924,2.8133333333333335
ONO Eriko,41,9068,4.487804878048781
Ibuka Masaru,4,8471,3.5
Nhiều tác giả,122,8122,2.036065573770492
Tiểu Vi Thanh,9,7276,4.300000000000001
Sugahara Yuko,4,6034,1.625
Fujiko F Fujio,178,6026,3.208988764044944
Fuku Mitsu,5,5758,3.0
William Golding,3,5607,1.5999999999999999
Patrick King,2,5537,4.55
Yoshichi Shimada,10,5419,4.88
Sơn Tùng,2,4598,5.0
Yosbook,10,4511,4.39
Richard Smitten,1,4417,5.0
"Hiraki Kazuo, Ichihara Jun, RoRon",1,4407,5.0
nhieu tac gia,1135,4220,0.45832599118942735
Kubota Kisou,12,4209,2.0500000000000003
Akira Toriyama,23,4094,3.4217391304347826
Fujiko.F.Fujio,1,4000,4.8
Nguyễn Trí Đoàn,1,4000,5.0
Hachun Lyonnet (Hà Chũn),8,3578,4.225
Fujiko-F-Fujio,3,3391,4.933333333333334
Phùng Quán,3,3329,5.0
Văn Nghĩa,4,3299,4.825
Miku Ito,2,3000,2.4
Nguyễn Thị Thu,1,3000,4.8
Nguyễn Ngọc Thuần,1,2861,5.0
Clint Emerson,1,2725,4.8
"ChungBe Studios, Park Yeonah",1,2522,5.0
Acccototo,1,2477,5.0
Yoshito Usui,16,2440,4.59375
Aoyama Gosho,10,2432,3.4299999999999997
Tô Hoài,21,2402,2.8333333333333335
Jun Phạm (365 Band),1,2385,5.0
Tú Quỳnh,3,2376,4.866666666666666
Gege Akutami,8,2273,3.6875
"Mijika, Tianying",1,2252,4.8
Trần Bạch Đằng (chủ biên),9,2227,4.855555555555556
Anthony B. Chan,3,2120,1.5666666666666667
Marie-Hélène Place,2,2086,4.75
Việt An,14,2042,4.042857142857143
Hajime Isayama,5,2029,3.0
Phan Thị,8,2022,4.875
Luis Sepulveda,3,2012,5.0
Lê Thu Ngọc,5,2010,4.74
Ma Vĩ,1,2000,5.0
Eiichiro Oda,28,1938,3.167857142857143
Astrid Lindgren,1,1871,5.0
Robert T. Kiyosaki – Sharon L. Lechter,2,1802,2.5
Jeff Kinney,21,1744,2.1904761904761907
Trần Bạch Đằng,20,1741,3.34
Yoshitoki Oima,6,1723,5.0
Lê Linh,7,1628,4.8428571428571425
Rena,2,1612,5.0
Sho Aimoto,7,1583,4.285714285714286
"Team-kids, Han Nana",1,1577,4.8
Thomas Sowell,1,1560,5.0
Nguyễn Nhật Ánh,4,1555,4.95
Hitoshi Iwaaki,3,1547,4.933333333333334
Tôn Nguyên Vĩ,12,1502,4.5249999999999995
Hiroko Kodama - Tomohiro Okubo,2,1458,4.8
Tatsuki Fujimoto,6,1391,5.0
Momoko Sakura,4,1364,4.8
Kohei Horikoshi,9,1297,3.8666666666666663
Nguyễn Thị Bích Hậu,3,1292,4.7
Jinco,7,1211,1.4285714285714286
Ken Spillman - James Tan,5,1165,3.5
Chieko Hosokawa & Fūmin,13,1146,5.0
"Dan Senor, Saul Singer",3,1105,1.5999999999999999
Sun Li,5,1094,2.94
Phó Trại Nam,10,1066,4.9799999999999995
Edith Nesbit,7,1062,3.4714285714285715
Koyoharu Gotouge,9,1044,3.3333333333333335
"Dale Carnegie, TS. David J. Lieberman, Rosie Nguyễn, Paulo Coelho",1,1037,5.0
Yuto Suzuki,3,1009,1.6666666666666667
B.R.O,10,1007,4.29
Tanaka Michiaki,4,1006,3.7
Benjamin Spock,3,1005,1.5
Susan Mayclin Stephenson,3,1002,1.6666666666666667
An Vinh,1,1000,5.0
Hanazono Makoto,1,1000,5.0
Ken Wakui,1,1000,4.8
Louie Stowell,2,1000,2.5
Nhóm An Sinh,1,1000,5.0
"Nguyễn Trần Thiên Lộc, Khánh Nguyên",1,964,5.0
Hiếu Minh,12,954,1.9916666666666665
Vương Văn,1,908,0.0
"Nguyên Trang, Tố Ny",1,884,5.0
Shimizu Yu,4,865,3.75
BS. Trần Thị Huyên Thảo,1,857,5.0
Tiến sĩ Shefali Tsabary,2,847,2.5
Carol S. Dweck,3,844,1.4333333333333333
Antoine Galland,5,806,0.96
Ryosuke Takeuchi,3,800,5.0
Mẹ Ong Bông,13,794,2.3
Shintaro Mugiwara,1,790,4.6
Norihiro Yagi,3,789,1.5999999999999999
Rasmus Hoài Nam,2,779,4.8
Tiểu Giang Nam,2,771,5.0
Heidi Murkoff,10,754,1.48
Naoi Mai,2,754,4.75
Nick Arnold,4,740,2.4
Aki Wakamatsu,5,727,1.0
Sue Graves,7,727,1.7714285714285711
Xact Group,16,725,4.6875
Chieko Hosokawa,5,711,4.0
Trung tâm Nghiên cứu Tâm lí Tiểu Hòa,6,705,4.133333333333334
Khánh Tuệ,4,694,5.0
Yamada,2,693,5.0
Lucy Maud Montgomery,1,691,5.0
Tony Buzan,1,682,4.8
Wataru Hinekure,2,681,2.5
Jennifer Buchanan,3,675,1.5666666666666667
Takehiko Inoue,4,668,3.425
Sadoru Chiba,2,664,4.1
Runkids,29,657,2.5413793103448277
Terry Deary,1,653,5.0
"David Walliams, Tony Ross",1,650,5.0
Hà Vĩnh Thọ,2,650,2.5
Vicky Barker,2,639,2.35
DK,17,631,1.447058823529412
Tracy Hogg,1,630,5.0
Saka Mikami,8,617,0.625
Henryk Sienkiewicz,2,608,4.8
Kisetsu Morita,1,604,5.0
Tú Quỳnh - Nhật Ly,1,602,4.5
"Nguyễn Hào, Tuấn Huỳnh",1,591,4.7
Nguyễn Thụy Anh,5,590,3.0
J.K.Rowling,1,574,4.8
Nguyễn Lân Đính,3,569,4.266666666666667
Nguyễn Hoàng,1,562,4.7
Robert Winston,2,551,2.4
Mami Tsumura,2,550,4.75
True Fruit,10,548,4.5
`,37,540,1.7918918918918918
Atsushi Ohkubo,6,538,4.166666666666667
Barbara Coloroso,1,532,0.0
Yusuke Yonezu,6,528,1.5999999999999999
Bubu Huong,6,520,2.433333333333333
