author_name,total_books,total_sales,average_rating
.,144,18669,2.877083333333333
...,2,47,2.5
1980 Edu,6,0,0.0
"1980 Edu, Quỳnh Hương",1,0,0.0
1980Edu,1,2,0.0
1980Edu (Phí Mai),1,0,0.0
1980Edu (Quỳnh Hương),1,8,0.0
1980Edu (Vũ Loan),1,0,0.0
1980Edu - Quỳnh Hương,5,51,2.0
A.A. Milne,1,1,0.0
Abel Chong,6,50,1.6666666666666667
Adachi Toka,3,363,5.0
Adam Kay,1,38,5.0
Adam Khoo,2,40,2.5
Adam Khoo & Gary Lee,1,14,5.0
Aesop,1,0,0.0
Aida Iro,1,4,0.0
AidaIro,3,243,3.3333333333333335
Aka Akasaka,2,25,2.5
Akagishi K,1,9,5.0
Akane Tamura,4,9,1.25
Akehashi Daiji,3,58,1.5333333333333332
Aki IRIE,1,0,0.0
Aki Wakamatsu,5,727,1.0
Akimi Yoshida,4,252,5.0
Akira,1,0,0.0
Akira Toriyama,23,4094,3.4217391304347826
Aladdin Book,1,0,0.0
Alex Frith,1,186,5.0
Alex Gino,1,0,0.0
Alex Woolf,5,24,1.0
Alicia Eaton,1,16,5.0
Alicia Vu,2,452,2.5
Alix Wood,1,19,5.0
Allisom Edwarss,1,36,5.0
Amanda Foody,1,10,5.0
Ameko,1,17,5.0
Amy Morin,2,15,0.0
An Chi - Hà Lê,3,0,0.0
An Nhiên,1,0,0.0
An Vinh,1,1000,5.0
Andy Stanton,30,7,0.0
Anh Thiên,3,0,0.0
Anjana Chartterjee,1,0,0.0
Anna Claybourne,2,77,2.5
Anna Sewell,2,0,0.0
Annabel Savery,1,1,0.0
Anne,1,0,0.0
Anne - Claire Kleindienst,4,272,1.175
Anne Frank,1,0,0.0
Anne Hilde Vassbø Hagen,1,4,0.0
Anne O’Daly,1,54,5.0
Anne Rooney,1,47,5.0
Anno Mitsumasa,1,57,5.0
Anri Sakano,2,6,0.0
Anthony E. Wolf,1,293,4.8
Antoine De Saint-Exupéry,2,7,2.5
Aoyama Gosho,10,2432,3.4299999999999997
Asagiri Kafka,1,0,5.0
"Asagiri Kafka, Minh họa: Harukawa Sango",1,0,0.0
Asanuma Tooru,1,28,0.0
Asaura,1,1,0.0
Atsushi Ohkubo,6,538,4.166666666666667
Aubrey Hargis,1,10,0.0
Audrey Penn,3,39,1.0
Audrey Wood,1,0,0.0
Aurore Meyer,1,17,0.0
Award,1,15,0.0
Award Publications Ltd,1,18,0.0
Aya Nakahara,1,151,5.0
Ayumi Tami,1,13,5.0
B R O group,19,110,0.0
B.R.O,10,1007,4.29
BS Đỗ Hồng Ngọc,1,3,5.0
BS. Lê Ngọc Anh Thy,2,2000,2.4
BS. Nguyễn Thị Ngọc Hương,1,18,5.0
BS. Steven P. Shelov - Shelly Vaziri Flais,1,39,5.0
BS. Trần Thị Huyên Thảo,1,857,5.0
Baba Tamio,1,0,0.0
Baek,1,10,5.0
Baek MyoungSik,1,33,4.0
Bando Mariko,1,2,0.0
Barbara Coloroso,1,532,0.0
Beatrix Potter,1,1,0.0
Benjamin Spock,3,1005,1.5
Bill Bryson,1,241,4.8
Bisco Hatori,1,33,5.0
Biên Thùy,1,70,5.0
Bodo Schafer,2,70,4.9
Bored Teachers,1,40,5.0
Brigitte Labbé,1,30,5.0
Bubu Huong,6,520,2.433333333333333
Buke - Buke,1,60,5.0
Bác sĩ Trần Hòa An,1,4,0.0
Bác sĩ Trần Thị Huyên Thảo,3,104,1.6666666666666667
Bích Ngọc,3,3,0.0
Bùi Gia Hiếu,1,1,0.0
Bùi Sơn Định,1,0,0.0
Bùi Thế Dũng,1,2,0.0
Bùi Tuấn Linh,2,12,0.0
Bảo Châu,1,0,0.0
Bảo Đông Ni - Thái Dương Oa,1,0,0.0
CARLA NAUMBURG,1,21,0.0
Cai Ning,5,17,1.0
Cao Nguyệt Nguyên,1,0,0.0
Cara Florance,1,14,4.7
Carl - Johan Forssén Ehrlin,1,5,0.0
Carol Cooper,1,5,5.0
Caroline Roope,2,2,0.0
Catherine Ard,2,15,2.5
Catherine D. Hughes,1,1,0.0
Catherine Metzmeyer,1,11,5.0
Catherine R. Jones,1,0,0.0
Catherine Veitch,3,27,1.6666666666666667
Catmint Books,1,0,0.0
Cecilia Minden,2,25,5.0
Celia Jenkins,1,0,0.0
Charles Dickens,2,26,2.5
Chica Umino,2,7,0.0
Chieko Hosokawa,5,711,4.0
Chieko Hosokawa & Fūmin,13,1145,5.0
Chihiro Ishizuka,1,0,5.0
Chikara Oyano,1,0,0.0
Chikyu no Osakana Ponchan,1,4,0.0
Chris Ferrie,4,244,4.725
Christian Jolibois,2,36,4.9
Christian Stang,11,3,0.45454545454545453
Christina Herkert Schul,1,64,5.0
Christina Trujillo Sieren,1,13,0.0
Christine Gross-Loh,1,0,0.0
Christine K.Koh,1,1,0.0
Christine Stahr,1,35,3.0
Chu Gia Hùng,1,0,0.0
Chu Hồng Vân,1,36,5.0
"Chu Hồng Vân, Vũ Thu Hà",1,0,0.0
Chu Tước Vi Hạ,2,16,0.0
Chu Vĩnh Tân,3,91,2.6666666666666665
Chugong,1,0,0.0
Chân Quả Quả,1,7,0.0
Chính Bình,12,13,0.0
Chơi mà học,1,0,0.0
Chủ Vườn Bibi,1,30,5.0
Claire Belton,2,12,2.5
Claire Selby,1,0,0.0
Clamp,4,88,1.25
Clint Emerson,1,2000,4.8
Corey R. Tabor,1,3,0.0
Craig Kessler,2,0,0.0
"Cynthia Clumeck Muchnick, MA",1,0,0.0
Cynthia Ulrich Tobias,1,0,0.0
Cát Băng,2,27,5.0
Cát Xuyên Lưu,1,234,5.0
Cécile Jugla,2,3,0.0
Céline Alvarez,1,0,0.0
Céline Santini,2,0,0.0
DK,12,356,1.6666666666666667
Dagmar Geisler,3,219,5.0
Daisuke Aizawa,2,52,4.65
Dan Taylor,1,1,0.0
Daniel J. Siegel,3,88,1.6666666666666667
Daniel J. Siegel & Tina Payne Bryson,1,37,5.0
Daniel J. Siegel and Tina Payne Bryson,1,272,5.0
Daniele Aristarco,2,2,0.0
Dave Ramsey,1,0,0.0
David Fontana,1,267,4.5
David McKee,1,9,0.0
David Squires,2,0,0.0
David Stabler,1,369,5.0
Deb Norton,1,1,0.0
Delphine,1,6,5.0
Deter Weidhaas,1,39,5.0
Devorah Heitner,2,1,0.0
Diane Tavenner,1,75,5.0
Diane Tillman,1,46,4.8
Diêu Lan Phương,1,48,4.6
Diệu Hoa,3,54,1.6666666666666667
Do Ki-sung,1,218,5.0
Dolphin Press,10,174,3.0
Dominic Walliman,2,0,0.0
Don H. Fontenelle,1,5,0.0
Dook Media,1,8,5.0
Doãn Kiến Lợi,6,47,0.75
Dr Carol Valinejad,1,206,5.0
Dr Timothy Sharp,1,0,0.0
Dr. Becky Kennedy,2,25,0.0
Dr. C. L. Claridge,4,64,0.0
Dr. Charles Sophy,3,101,1.6666666666666667
Dr. Kenvin Leman,1,91,5.0
Dr. Martha Deiros Collado,4,2,1.25
Duane Armitage,1,159,4.8
Dubu (Redice Studio),1,36,5.0
Dương Hồng Anh,2,16,0.0
Dương Kiều Oanh,1,0,0.0
Dương Linh,1,0,0.0
Dương Lượng Lượng,1,0,0.0
Dương Ý,1,0,0.0
E. T. A. Hoffmann,1,0,0.0
EIKO TAJIMA,1,0,0.0
Edith Nesbit,4,404,3.65
Education Lab,12,207,3.75
"Edward De Bono, David Perlmutter",1,0,0.0
Edward de Bono,5,44,0.86
Ei Ohitsuji,3,34,3.3333333333333335
Eiichiro Oda,27,2015,3.285185185185185
"Eiichiro Oda, Nhiều người",1,2,0.0
Eileen Kennedy-Moore & Mark S.Lowenthal,1,302,0.0
Einstein books,3,0,0.0
Elaine Halligan,1,2,0.0
Elizabeth Verdick,2,224,4.75
"Ellen Fein, Sherrie Scheneider",4,0,0.0
Emi Ishikawa,1,0,0.0
Emilie Dufresne,2,48,2.5
Emily Hughes,1,138,4.8
Eric Liao,2,0,0.0
Erica Curtis & Ping Ho,1,0,0.0
Erika Takeuchi,1,270,5.0
Ernest Tan,3,1,0.0
Estelle Meens,2,12,2.0
Estter Wojcicki,1,28,4.3
Etsuko Shimizu,1,485,4.2
Eva Bade,1,30,0.0
Eva Bronsveld,1,0,0.0
FLIPFLOPs,1,16,0.0
Fay Angelo,1,7,0.0
